region,eval_year,n_calib,window,option_type,index_type,spearman_rho,S,z_star,premium_EUR_ha,idx_mean_calib,idx_std_calib,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,xgb_hedge_t0.0,rev_hedged_t0.0,net_benefit_t0.0,xgb_hedge_t0.5,rev_hedged_t0.5,net_benefit_t0.5,xgb_hedge_t1.0,rev_hedged_t1.0,net_benefit_t1.0,xgb_z_cont,rev_hedged_cont,net_benefit_cont,xgb_forecast,xgb_anomaly_z
27,2020,20,FebMarAprMayJunJul,put,cat,0.9,2359.22,1.4838,39.7,2359.22,120.14,2460.04,100.81,0.0,False,1340.4,1281.5,-58.9,False,False,1340.4,0.0,True,1281.5,-58.9,True,1281.5,-58.9,False,1340.4,0.0,0.9805,1301.48,-38.92,2279.83,-0.661
28,2020,20,Jan,call,cat,-0.4015,166.71,1.965,18.18,166.71,49.12,206.08,39.37,39.37,True,1330.79,1372.42,41.63,True,True,1372.42,41.63,True,1372.42,41.63,False,1330.79,0.0,False,1330.79,0.0,0.884,1349.51,18.72,188.81,0.45
32,2020,20,JanFebMarAprMayJunJul,call,cat,-0.4286,2253.92,0.0,69.95,2253.92,192.3,2441.55,187.63,187.63,True,1452.84,1452.84,0.0,True,True,1452.84,0.0,True,1452.84,0.0,False,1452.84,0.0,False,1452.84,0.0,0.0,1452.84,0.0,2299.31,0.236
44,2020,20,MayJunJul,put,cat,0.3248,1596.79,2.6907,27.55,1596.79,76.43,1531.83,-64.96,64.96,True,1135.98,1236.63,100.65,True,True,1236.63,100.65,False,1135.98,0.0,False,1135.98,0.0,False,1135.98,0.0,0.0,1135.98,-0.0,1640.34,0.57
52,2020,20,MayJun,put,hdd,0.4466,154.1,2.4558,12.2,154.1,33.76,166.04,11.95,0.0,False,781.61,751.66,-29.95,False,False,781.61,0.0,True,751.66,-29.95,True,751.66,-29.95,False,781.61,0.0,2.0116,757.08,-24.53,126.44,-0.819
53,2020,20,May,call,cat,-0.3865,409.13,0.4997,7.68,409.13,23.12,441.2,32.07,32.07,True,1079.8,1091.98,12.19,True,True,1091.98,12.19,True,1091.98,12.19,False,1079.8,0.0,False,1079.8,0.0,0.1546,1083.57,3.77,416.28,0.309
11,2021,21,May,put,hdd,0.5026,117.15,0.0,12.49,117.15,33.08,182.14,64.99,0.0,False,1327.33,1327.33,-0.0,False,False,1327.33,0.0,True,1327.33,-0.0,True,1327.33,-0.0,False,1327.33,0.0,0.0,1327.33,-0.0,95.01,-0.669
24,2021,21,May,call,cdd,-0.2887,5.99,0.0,2.33,5.99,6.04,1.25,-4.74,0.0,False,1170.85,1170.85,-0.0,False,False,1170.85,0.0,False,1170.85,0.0,False,1170.85,0.0,False,1170.85,0.0,0.0,1170.85,0.0,0.0,-0.993
27,2021,21,FebMarAprMayJunJul,put,cat,0.9429,2376.03,1.4928,35.97,2376.03,115.07,2169.64,-206.39,206.39,True,969.37,1223.78,254.4,True,True,1223.78,254.4,True,1223.78,254.4,False,969.37,0.0,False,969.37,0.0,0.6295,1076.66,107.29,2327.5,-0.422
28,2021,21,Jan,call,cat,-0.4494,168.59,1.9746,18.17,168.59,48.64,153.74,-14.85,0.0,False,1236.46,1200.6,-35.87,False,False,1236.46,0.0,True,1200.6,-35.87,False,1236.46,0.0,False,1236.46,0.0,0.6582,1224.51,-11.95,184.8,0.333
