cl_ratio,REV,E_hba,E_xgb,E_perfect,p_hba,p_xgb,hedge_hba,hedge_xgb,region
0.27,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.28,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.29000000000000004,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.30000000000000004,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.31,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.32,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.33,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.34,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.35000000000000003,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.36000000000000004,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.37000000000000005,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.38,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.39,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.4,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.41000000000000003,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.42000000000000004,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.43000000000000005,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.44,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.45,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.46,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.47000000000000003,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.48000000000000004,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.49000000000000005,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.5,-0.0,-433.8772269255467,-433.8772269255467,-125.82462710621405,0.2,0.211,0,0,24
0.02,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.03,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.04,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.05,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.06,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.07,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.08,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.09000000000000001,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.1,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.11,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.12000000000000001,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.13,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.13999999999999999,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.15,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.16,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.16999999999999998,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.18,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.19,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.19999999999999998,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.21,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.22,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.22999999999999998,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.24,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.25,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.26,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.27,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.28,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.29000000000000004,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.30000000000000004,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.31,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.32,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.33,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.34,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.35000000000000003,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.36000000000000004,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.37000000000000005,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.38,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.39,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
