region,year,contract,itype,model,timing,Y_actual,Y_pred,delta,delta_sq
52,2024,December,HDD,HBA,180,327.6785714285714,351.5321726190476,0.07279573115349698,0.005299218474172211
52,2024,December,HDD,Alaton,180,327.6785714285714,335.7389566049069,0.024598450674375372,0.0006050837755796782
52,2024,December,HDD,Benth,180,327.6785714285714,310.5903304371537,-0.052149400300784285,0.00271955995173144
52,2024,December,HDD,HBA,mid,327.6785714285714,335.76741964285713,0.02468531335149874,0.0006093646952616819
52,2024,December,HDD,Alaton,mid,327.6785714285714,336.0084751691196,0.025420959644179852,0.0006462251892310207
52,2024,December,HDD,Benth,mid,327.6785714285714,328.14072562634425,0.0014103888324403394,1.9891966586724238e-06
52,2005,January,HDD,HBA,180,341.3504761904761,376.31645833333334,0.10243425623155114,0.010492776849711073
52,2005,January,HDD,Alaton,180,341.3504761904761,374.3783119446802,0.09675637814483175,0.009361796711705674
52,2005,January,HDD,Benth,180,341.3504761904761,372.8042750806068,0.09214517360913028,0.008490733019456761
52,2005,January,HDD,HBA,mid,341.3504761904761,339.47124404761905,-0.005505286425346709,3.0308178625106746e-05
52,2005,January,HDD,Alaton,mid,341.3504761904761,338.79047438191947,-0.007499628643049406,5.624442978364707e-05
52,2005,January,HDD,Benth,mid,341.3504761904761,340.4940387041336,-0.0025089681898221353,6.294921377539362e-06
52,2006,January,HDD,HBA,180,423.4133928571428,368.0414821428571,-0.13077505730426406,0.01710211561293355
52,2006,January,HDD,Alaton,180,423.4133928571428,374.1825826896825,-0.11627126349324174,0.013519006714314849
52,2006,January,HDD,Benth,180,423.4133928571428,371.6233904817339,-0.12231545635799608,0.014961070864064844
52,2006,January,HDD,HBA,mid,423.4133928571428,390.02391071428576,-0.07885787909907342,0.006218565096004081
52,2006,January,HDD,Alaton,mid,423.4133928571428,385.8322110010988,-0.08875765974819712,0.00787792216397673
52,2006,January,HDD,Benth,mid,423.4133928571428,387.6846278386708,-0.08438269932223588,0.007120439944906868
52,2007,January,HDD,HBA,180,306.6533333333333,371.58215178571425,0.2117336138061903,0.04483112321542894
52,2007,January,HDD,Alaton,180,306.6533333333333,373.0294258824241,0.21645319105969,0.04685198391992266
52,2007,January,HDD,Benth,180,306.6533333333333,370.98104222572505,0.2097733887094822,0.044004874610659515
52,2007,January,HDD,HBA,mid,306.6533333333333,317.0304136904762,0.03383977680706634,0.001145130494352065
52,2007,January,HDD,Alaton,mid,306.6533333333333,308.67996441797135,0.006608866965861692,4.367712257245793e-05
52,2007,January,HDD,Benth,mid,306.6533333333333,311.5565971655007,0.015989599000502404,0.00025566727619686746
52,2008,January,HDD,HBA,180,327.47559523809525,358.5498184523809,0.09489019537988094,0.00900414917923198
52,2008,January,HDD,Alaton,180,327.47559523809525,372.01751408151193,0.1360159947523171,0.018500350828462353
52,2008,January,HDD,Benth,180,327.47559523809525,370.0186500498591,0.12991213827959422,0.01687716367237641
52,2008,January,HDD,HBA,mid,327.47559523809525,342.4359791666667,0.04568396590803755,0.002087024741086737
52,2008,January,HDD,Alaton,mid,327.47559523809525,332.83130058064444,0.016354517467645956,0.00026747024159953667
52,2008,January,HDD,Benth,mid,327.47559523809525,337.6083649980643,0.03094206074379953,0.0009574111230729799
52,2009,January,HDD,HBA,180,451.6139880952381,360.34109821428575,-0.20210377066908822,0.040845934118663406
52,2009,January,HDD,Alaton,180,451.6139880952381,370.89754669209486,-0.17872883376261017,0.03194399601814274
52,2009,January,HDD,Benth,180,451.6139880952381,369.6593970086449,-0.1814704443328941,0.03293152216637802
52,2009,January,HDD,HBA,mid,451.6139880952381,453.06734821428574,0.0032181468186525007,1.0356468946403211e-05
52,2009,January,HDD,Alaton,mid,451.6139880952381,460.8844026131666,0.020527297121659488,0.0004213699271208899
52,2009,January,HDD,Benth,mid,451.6139880952381,461.47285769500166,0.021830301672773927,0.0004765620711243161
52,2010,January,HDD,HBA,180,478.4877976190476,364.7392976190476,-0.23772497557097982,0.05651316401022295
52,2010,January,HDD,Alaton,180,478.4877976190476,369.20979510344984,-0.22838200484811622,0.052158340138444975
52,2010,January,HDD,Benth,180,478.4877976190476,367.6523096255387,-0.2316370209335027,0.05365570946694796
52,2010,January,HDD,HBA,mid,478.4877976190476,449.91202083333326,-0.05972101467980429,0.0035665995943853996
52,2010,January,HDD,Alaton,mid,478.4877976190476,463.395958834638,-0.03154069729574404,0.0009948155859017553
52,2010,January,HDD,Benth,mid,478.4877976190476,462.25675793847637,-0.03392153313279213,0.0011506704100791142
52,2011,January,HDD,HBA,180,389.78375,372.55618749999996,-0.04419774426204282,0.0019534405978529393
52,2011,January,HDD,Alaton,180,389.78375,367.81036897032027,-0.05637326089063418,0.003177944543443505
52,2011,January,HDD,Benth,180,389.78375,366.05037699546233,-0.060888564504132534,0.0037074172873739083
52,2011,January,HDD,HBA,mid,389.78375,356.1255178571429,-0.086351039885211,0.007456502089257302
52,2011,January,HDD,Alaton,mid,389.78375,335.80535905189686,-0.13848291763857046,0.01917751847769109
52,2011,January,HDD,Benth,mid,389.78375,341.58808981510776,-0.12364717663292078,0.015288624289292712
52,2012,January,HDD,HBA,180,340.19523809523804,372.37537499999996,0.09459314329306708,0.008947862758062721
52,2012,January,HDD,Alaton,180,340.19523809523804,367.67884913551666,0.08078775938828558,0.006526662066979526
52,2012,January,HDD,Benth,180,340.19523809523804,365.77769482568704,0.0751993381026902,0.0056549404510827135
52,2012,January,HDD,HBA,mid,340.19523809523804,342.458693452381,0.006653401058216171,4.4267745641472064e-05
52,2012,January,HDD,Alaton,mid,340.19523809523804,364.7991305117678,0.07232285952703989,0.005230596010167944
52,2012,January,HDD,Benth,mid,340.19523809523804,360.42624401715665,0.05946880983752899,0.0035365393434921844
52,2013,January,HDD,HBA,180,384.8910714285714,367.7876369047618,-0.04443707789928215,0.00197465389222687
52,2013,January,HDD,Alaton,180,384.8910714285714,365.6989934302683,-0.04986366123555256,0.002486384711813947
52,2013,January,HDD,Benth,180,384.8910714285714,364.9772076014349,-0.051738960203009485,0.0026769200028885992
52,2013,January,HDD,HBA,mid,384.8910714285714,361.0039910714286,-0.06206192382817029,0.003851682389253611
52,2013,January,HDD,Alaton,mid,384.8910714285714,368.2762879675091,-0.04316749515491344,0.0018634326379494755
52,2013,January,HDD,Benth,mid,384.8910714285714,368.92645199614725,-0.04147827948611405,0.0017204476691281897
52,2014,January,HDD,HBA,180,309.7522023809524,372.1921904761904,0.20158044919546833,0.040634677497846786
52,2014,January,HDD,Alaton,180,309.7522023809524,365.1778691266356,0.17893550496056618,0.0320179149354928
52,2014,January,HDD,Benth,180,309.7522023809524,364.45496885360177,0.17660170307803832,0.03118816153006361
52,2014,January,HDD,HBA,mid,309.7522023809524,324.6176666666667,0.04799147244619704,0.0023031814275540894
52,2014,January,HDD,Alaton,mid,309.7522023809524,308.4027396324602,-0.0043565880665878375,1.897985958193555e-05
52,2014,January,HDD,Benth,mid,309.7522023809524,312.91677882865974,0.010216477634000387,0.00010437641524603014
52,2015,January,HDD,HBA,180,368.31815476190474,370.9823005952381,0.007233273187566761,5.232024100597221e-05
52,2015,January,HDD,Alaton,180,368.31815476190474,365.26562243214033,-0.008287759618413814,6.868695949261069e-05
52,2015,January,HDD,Benth,180,368.31815476190474,362.7348511271374,-0.015158915091699997,0.00022979270675736993
52,2015,January,HDD,HBA,mid,368.31815476190474,341.3964315476191,-0.07309366336201616,0.005342683623679743
52,2015,January,HDD,Alaton,mid,368.31815476190474,322.50564173204646,-0.12438298910210734,0.015471127977974952
52,2015,January,HDD,Benth,mid,368.31815476190474,327.65559163607173,-0.11040064846143377,0.012188303180705079
52,2016,January,HDD,HBA,180,329.53916666666674,371.8807083333333,0.12848712975442944,0.01650894251253159
52,2016,January,HDD,Alaton,180,329.53916666666674,363.93235372927217,0.1043675245358455,0.010892580177740311
52,2016,January,HDD,Benth,180,329.53916666666674,361.8560042642483,0.09806675766183051,0.009617088958304194
52,2016,January,HDD,HBA,mid,329.53916666666674,349.7609702380952,0.06136388513685556,0.003765526399089203
52,2016,January,HDD,Alaton,mid,329.53916666666674,352.58522531296387,0.06993420199307757,0.004890792608408574
52,2016,January,HDD,Benth,mid,329.53916666666674,351.67931530024964,0.06718518122605424,0.004513848576377751
52,2017,January,HDD,HBA,180,438.7217261904762,371.62266666666665,-0.15294218525817369,0.02339131203154552
52,2017,January,HDD,Alaton,180,438.7217261904762,362.01775738849676,-0.1748351271955871,0.030567321701497122
