region,year,model,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
32,2018,KNN,1.7716048194307106,2.15565712644027,1.8478092719654136,1.4432967428045318,1.0327336368201148,0.8046325317371759,0.8594796514627343,0.8657880887593101,0.7587833431561714,0.5680345609349982,0.6145747521340154,0.7491662107743284,0.7557388120073159,0.9445289613606107,1.1457255199130534,1.426439442153555,1.6634319169144431
32,2018,LSTM,0.16902037056148148,0.21161101652386294,0.17873090446990617,0.058809237651595986,0.08524987306479989,0.05402868120200238,0.04644053741000461,0.04703385022823007,0.05383051159551502,0.021644486315802916,0.0290053818996427,0.03265366349222615,0.026023366520622343,0.03572615187418671,0.0030456605352542996,0.0002867965438412692,0.11916515042618127
32,2018,FeedForwardNN,0.4622002748112862,0.09959315306298205,0.0005068938516993775,0.04960578259872708,0.021022081173461847,0.012216156996421609,0.019148477314468833,0.01846922336321264,0.02791732052185165,0.003082208300433964,0.017688815627602127,0.020330789208733976,0.024432774488253477,0.04918950670824843,0.014161578593993066,0.025898456185891015,0.07529248392799272
32,2019,HBA,,,,,,,,,,,,,,,,,
32,2019,Alaton,,,,,,,,,,,,,,,,,
32,2019,Benth,,,,,,,,,,,,,,,,,
32,2019,XGB,0.16105089516935706,0.0752115666064025,0.11556575377939268,0.07887278422305832,0.029358946241252765,0.022631076592364362,0.025636099063753127,0.0258927492401072,0.012746567530481787,0.0153332881746729,0.031817734795102255,0.013101176585181798,0.02382352535099503,0.017538590866449415,0.03815528861295174,0.01920052663054502,0.17567809081474098
32,2019,RandomForest,,,,,,,,,,,,,,,,,
32,2019,SVM,2.0127615125377627,1.8707190414666446,1.6473590173110801,1.4047990283053233,1.0379442107990422,0.8108887559040217,0.8717093052346333,0.878650866449582,0.7402911105268987,0.5645994020101764,0.5890911112277476,0.752811753897721,0.7730443782612894,0.9795478333658516,1.1867514036177493,1.4983418750368687,1.7009753379112604
32,2019,KNN,2.3686993771653393,1.9074689363077177,1.612211145023982,1.391496808798017,1.0198222900703144,0.795685958306259,0.8506268707913134,0.8565896051279165,0.7304850810634947,0.5525630068676834,0.5844917582538444,0.733324470958507,0.7469431061639324,0.9356962207883457,1.1394849425337685,1.4335722357319252,1.6686530874791112
32,2019,LSTM,0.5738447291576931,0.2375331346126981,0.1314896720724156,0.0973215548866463,0.07443123213854447,0.06289198609934986,0.06041188460536929,0.0626254810108466,0.04656249419268873,0.050375248931641685,0.026233302568113643,0.05005230180825275,0.054150847797390544,0.06361671942779588,0.06882251126507613,0.1553866754094644,0.07260394604197762
32,2019,FeedForwardNN,0.44639537644160904,0.07432943376068143,0.17952040297062655,0.1207491918130673,0.10888766259872289,0.06566356045619379,0.07355108213621696,0.07229002339508796,0.07438890423618007,0.018777938640822594,0.045961815482190034,0.057180633557175564,0.047131694900598535,0.0873982452074955,0.0905088284764033,0.05697824242324461,0.0672565705476308
32,2020,HBA,,,,,,,,,,,,,,,,,
32,2020,Alaton,,,,,,,,,,,,,,,,,
32,2020,Benth,,,,,,,,,,,,,,,,,
32,2020,XGB,0.22874813295400756,0.26995560646543937,0.17447030361492413,0.16956607484929595,0.09038675950504507,0.05836103677781495,0.055685551274176175,0.05437862266350584,0.04882709359473695,0.02144924083208687,0.025705746678809517,0.035580483652621654,0.030845897370909734,0.04169531822517925,0.04785510956659281,0.10257164814389849,0.08478856092848182
32,2020,RandomForest,,,,,,,,,,,,,,,,,
32,2020,SVM,1.893854115804394,1.733464761605145,1.5890957862402941,1.3660894659571636,1.0424636370298312,0.8246109827609782,0.8793324856248457,0.8853456052153438,0.7722817633051307,0.5735211700783178,0.594697217545587,0.7642861790100665,0.7756553204493535,0.9752787180582415,1.1724792426367534,1.4343134463488938,1.7251112135650073
32,2020,KNN,1.8786547122144905,1.7242532186464872,1.5875581159332341,1.3521650691190623,1.0148784951155314,0.7992642866839141,0.8515430385353687,0.8572222015355727,0.7318222328375785,0.5507544331385804,0.5757657163437372,0.7323411062828675,0.7458027749475332,0.9354839069615288,1.131673583267609,1.384182068593101,1.7040033474950862
32,2020,LSTM,0.1654800712418075,0.1075375043563285,0.18554263962664086,0.1088523480499273,0.093734996544495,0.07840298201058714,0.08081015879414341,0.08328536061461086,0.04835756847699145,0.0607318057273007,0.047934994184743146,0.06374223146163228,0.07259511553156281,0.08183381901253149,0.0956294296866521,0.05834892063980334,0.12556673357070125
32,2020,FeedForwardNN,0.2349875883117593,0.14677055297424751,0.02398953941337274,0.0627586672964994,0.028150246826676027,0.008500749425992635,0.0028348543836835575,0.005964550829153688,0.030206744466945466,0.014146615776899192,0.014511886326764725,0.007969651601931381,0.02981131534475079,0.04676592125804997,0.05920126555107481,0.03772620913714256,0.13252370124024643
32,2021,HBA,,,,,,,,,,,,,,,,,
32,2021,Alaton,,,,,,,,,,,,,,,,,
32,2021,Benth,,,,,,,,,,,,,,,,,
32,2021,XGB,0.19235698982540764,0.05398575155487266,0.027446567901210153,0.14725293541429596,0.090299858421761,0.051572693786856146,0.04692299843786674,0.03809647900534802,0.11928021467645779,0.013305640871167784,0.03403310244141538,0.0383241335752865,0.0025997333250807266,0.040236585642064567,0.022482183857321616,0.03817296674002206,0.18401564204053547
32,2021,RandomForest,,,,,,,,,,,,,,,,,
32,2021,SVM,2.286339958379716,2.0005405959736478,1.7291017853679753,1.489309684708467,1.0361881014872643,0.7916830769326889,0.8598786342227513,0.868556441809676,0.716699889393555,0.5500829804374114,0.5708397619074665,0.7418166430234253,0.7680887212710498,0.9801893016574719,1.2003320760648772,1.485378710088496,1.7240199859684593
32,2021,KNN,2.3963352736389423,2.072135795328519,1.7291799704274151,1.4926885559457712,1.0200872783485289,0.7713635451483344,0.8285151002926248,0.8365035221679551,0.6931392591779337,0.5255948618613382,0.5414883374848243,0.7055081175169852,0.7255744543182867,0.9232003577339151,1.1228577983153254,1.4115603351017214,1.6149937499355367
32,2021,LSTM,0.5592243953873021,0.32119138073705,0.19224947034086995,0.24599768060430577,0.14354448479558693,0.10559216606122714,0.1199079344302288,0.11269017508526977,0.12108762023380774,0.06809075321646066,0.07583238192313875,0.10123820407072746,0.09230422610514742,0.07597531051804632,0.13611285295076445,0.16997625060570037,0.05744164347269338
32,2021,FeedForwardNN,0.32505248591915786,0.04683819587999692,0.03920948930877686,0.048302704784056454,0.0038056160938690882,0.01031884298404005,0.027966968194425637,0.02114034185159517,0.023638994244443778,0.01675468718817297,0.014582973805471314,0.03059797950703773,0.0314589058481937,0.011119091469421203,0.05827479001189226,0.07577708969103408,0.005130596678171005
32,2022,HBA,,,,,,,,,,,,,,,,,
32,2022,Alaton,,,,,,,,,,,,,,,,,
32,2022,Benth,,,,,,,,,,,,,,,,,
