region,year,model,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
27,2016,LSTM,5.1432077457045,2.931677856649084,2.107667213339117,1.6655566366700307,1.170449956943768,0.8213361206003521,1.2673635823790401,1.270547572765699,0.23323270054841874,0.12310844791352044,0.14877542713103703,1.01083142518526,1.403039268692095,2.0422398636626276,2.6842450156315962,3.865476412268181,6.7397866774188815
27,2016,FeedForwardNN,5.050382484450326,2.865576467009915,2.030425544025419,1.5975101116961452,1.1139269883745218,0.7862045403772,0.8363351704443963,0.8387982631729036,0.19742843272362443,0.13075964438255652,0.1256691953753157,0.4519004982038448,0.5847232314188884,0.8108438329365458,1.0350452995738952,1.433798818693696,2.1903680212945256
27,2017,HBA,,,,,,,,,,,,,,,,,
27,2017,Alaton,,,,,,,,,,,,,,,,,
27,2017,Benth,,,,,,,,,,,,,,,,,
27,2017,XGB,2.4927604471868086,1.4280918770314046,1.0433060341732214,0.8817272186031236,0.6476208028718765,0.4861034646274544,0.6721149995753548,0.6720262457782146,0.2519355715705317,0.16306878813861017,0.14966796668089036,0.556783390484484,0.7094436815179224,0.9961939042765271,1.2597920082917944,1.7773942215066731,2.342240429768459
27,2017,RandomForest,,,,,,,,,,,,,,,,,
27,2017,SVM,3.658517364123139,2.6833543150477897,2.167446509569783,1.7977602469967693,1.3768018932230601,1.0431691799485465,1.2779880887803914,1.2974067504029112,0.586157276876337,0.37590375339951954,0.4504265858160596,1.015184387285998,1.2463019982130608,1.6743126970006723,2.0995344748375055,2.774293034690852,3.851342394185793
27,2017,KNN,6.176203006023,4.094217788743221,3.1720057482353745,2.60260485131995,1.9498117514915072,1.4617784439623118,1.7789782072651532,1.8010004547298295,0.7276177547476403,0.4857118289039213,0.5430367694439989,1.3576255284059764,1.690870344665561,2.2944194011927492,2.879407148641271,3.865764643680152,5.289722917430746
27,2017,LSTM,1.934132995975636,1.132401069335392,0.8114503235935075,0.7222231445500671,0.5406254066763557,0.41876788791551267,0.7652837339024573,0.7714932410327247,0.26980048975920407,0.17505285039382634,0.15697673924422667,0.77121341665493,1.0155814830844787,1.4464638209893759,1.8649302097011644,2.680853176755974,3.7127193483927914
