region,year,date,actual,model,forecast
53,2016,2016-10-16,14.71818181818182,LSTM,12.127075693978666
53,2016,2016-10-17,13.375,LSTM,11.931083044395844
53,2016,2016-10-18,11.916666666666666,LSTM,11.775479126249161
53,2016,2016-10-19,10.4625,LSTM,11.673870044048622
53,2016,2016-10-20,11.277272727272727,LSTM,11.572492522536185
53,2016,2016-10-21,11.170833333333334,LSTM,11.374022472725896
53,2016,2016-10-22,10.279166666666669,LSTM,11.277001249303455
53,2016,2016-10-23,9.520833333333334,LSTM,11.160068523372198
53,2016,2016-10-24,13.1875,LSTM,10.99401778889704
53,2016,2016-10-25,12.508333333333333,LSTM,10.817879798151454
53,2016,2016-10-26,11.441666666666668,LSTM,10.708282738816862
53,2016,2016-10-27,10.175,LSTM,10.60771930466664
53,2016,2016-10-28,11.433333333333332,LSTM,10.570949558258354
53,2016,2016-10-29,10.9875,LSTM,10.512431050420155
53,2016,2016-10-30,12.966666666666669,LSTM,10.421183972176113
53,2016,2016-10-31,13.383333333333333,LSTM,10.362844031261034
53,2016,2016-11-01,12.268181818181818,LSTM,10.243846212415672
53,2016,2016-11-02,10.679166666666667,LSTM,10.216440628874418
53,2016,2016-11-03,7.570833333333333,LSTM,10.212544192425824
53,2016,2016-11-04,9.5375,LSTM,10.219256352580862
53,2016,2016-11-05,8.10909090909091,LSTM,10.19121864846361
53,2016,2016-11-06,6.6863636363636365,LSTM,10.143403845051775
53,2016,2016-11-07,7.404166666666666,LSTM,10.086513640626075
53,2016,2016-11-08,7.463636363636363,LSTM,9.983794104335592
53,2016,2016-11-09,10.115,LSTM,9.923384474915194
53,2016,2016-11-10,11.35909090909091,LSTM,9.924682092702577
53,2016,2016-11-11,9.995833333333334,LSTM,9.902312590289581
53,2016,2016-11-12,11.885,LSTM,9.865639597534772
53,2016,2016-11-13,10.72272727272727,LSTM,9.75108701470506
53,2016,2016-11-14,9.877777777777778,LSTM,9.804833467141242
53,2016,2016-11-15,12.079166666666666,LSTM,9.819842591938928
53,2016,2016-11-16,11.933333333333332,LSTM,9.907146481128564
53,2016,2016-11-17,11.77,LSTM,9.93048497697082
53,2016,2016-11-18,8.25,LSTM,9.90078289404868
53,2016,2016-11-19,8.427272727272728,LSTM,9.84799082942174
53,2016,2016-11-20,10.222727272727273,LSTM,9.818377050637148
53,2016,2016-11-21,8.772222222222222,LSTM,9.796122416701824
53,2016,2016-11-22,7.635,LSTM,9.732911252433205
53,2016,2016-11-23,7.18125,LSTM,9.658807654328516
53,2016,2016-11-24,11.604166666666666,LSTM,9.616610438560997
53,2016,2016-11-25,9.5,LSTM,9.545356199267502
53,2016,2016-11-26,9.145454545454545,LSTM,9.532314414580043
53,2016,2016-11-27,8.033333333333333,LSTM,9.528513957519728
53,2016,2016-11-28,6.533333333333334,LSTM,9.512978041710113
53,2016,2016-11-29,2.5125,LSTM,9.490746022413795
53,2016,2016-11-30,4.295833333333333,LSTM,9.382641600326373
53,2016,2016-12-01,6.6125,LSTM,9.289223599675967
53,2016,2016-12-02,4.133333333333334,LSTM,9.20335073206308
53,2016,2016-12-03,5.854166666666667,LSTM,9.064369524568923
53,2016,2016-12-04,4.320833333333334,LSTM,9.002303587045285
53,2016,2016-12-05,8.458333333333334,LSTM,8.880908043365249
53,2016,2016-12-06,9.929166666666664,LSTM,8.787011912167937
53,2016,2016-12-07,11.325,LSTM,8.722014483647548
53,2016,2016-12-08,11.141666666666666,LSTM,8.677524405193143
53,2016,2016-12-09,11.066666666666668,LSTM,8.66176611485192
53,2016,2016-12-10,11.775,LSTM,8.636822323758967
53,2016,2016-12-11,9.475,LSTM,8.548015571174627
53,2016,2016-12-12,11.704545454545457,LSTM,8.490550045322063
53,2016,2016-12-13,11.9,LSTM,8.339790586178683
53,2016,2016-12-14,9.179166666666667,LSTM,8.2162230312447
53,2016,2016-12-15,10.366666666666667,LSTM,8.107463575434153
53,2016,2016-12-16,9.508333333333333,LSTM,8.012683131030892
53,2016,2016-12-17,7.354166666666667,LSTM,7.894142317777714
53,2016,2016-12-18,5.7875000000000005,LSTM,7.7816355811478415
53,2016,2016-12-19,5.545833333333333,LSTM,7.644430321708543
53,2016,2016-12-20,6.236363636363635,LSTM,7.496037842439844
53,2016,2016-12-21,9.881818181818184,LSTM,7.373460599853892
53,2016,2016-12-22,9.06,LSTM,7.251784030881353
