departement_code,station_id,distance_m,weight
53,07125,77117.14024891953,0.10470303835887097
75,07530,37181.657128384446,0.47610030703480266
75,07428,60048.525752650574,0.18253714175049185
75,07510,66509.90948475536,0.1487932504971399
75,07412,82389.04303916285,0.09696545238164063
75,LFBU0,82973.66724658737,0.09560384833592481
76,07632,25099.609408133732,0.5887444348446246
76,07635,55474.25559117335,0.12052517618979079
76,07630,59801.202444687704,0.10371484153602954
76,07631,62036.18981903277,0.09637635764981421
76,07555,63969.41267001721,0.09063918977974104
84,07480,30080.737914436493,0.3327989274112086
84,07481,35982.09169237207,0.23258734308142764
84,07486,39548.52645539987,0.19252994027517892
84,07475,43337.007348284744,0.16033969537315532
84,LFLU0,60694.76758550889,0.0817440938590295
93,07588,16026.659334535982,0.8134745115815114
93,07657,57392.18714225437,0.06343433772864793
93,07591,58290.99634080506,0.06149318729721652
93,07675,79835.30157429942,0.032782345318214265
93,07684,85153.20740009643,0.028815618074409955
94,07761,38627.86926234598,0.23836276025535086
94,07775,39953.137497001386,0.222811771646887
94,07765,42273.13005686159,0.19902658906730308
94,07754,42779.24996356255,0.19434509304728598
94,07753,49448.99174841042,0.14545378598317307
975,07100,3772401.0683200187,0.2042269727540078
975,07103,3814393.7062226534,0.19975505755830372
975,07107,3822614.586466572,0.19889679860521634
975,07110,3823842.927017205,0.19876903511324867
975,07109,3827859.319529266,0.1983521359692234
977,07100,6340215.313798234,0.20207414795458564
977,07103,6361241.546409874,0.20074049759940563
977,07200,6384135.731889686,0.19930332587144067
977,07109,6387808.309808844,0.19907421862705213
977,07110,6392086.808358822,0.19880780994751596
978,07100,6337792.828374132,0.20208582961448926
978,07103,6359078.07625319,0.20073524137666682
978,07200,6382119.4183584545,0.1992884304104752
978,07109,6385527.755074304,0.1990757429633383
978,07110,6389717.573022994,0.19881475563503045
984,91754,78742108.73681696,0.25038226629809524
984,07791,91012918.17228782,0.18741811664599572
984,07775,91016041.05343333,0.18740525573807043
984,07790,91016553.3943288,0.187403145899745
984,07785,91019450.686059,0.1873912154180935
986,91753,11757.354761536857,0.9999982696683056
986,07100,17855298.221730486,4.335950117719478e-07
986,07107,17874762.081344657,4.326512411590808e-07
986,07116,17883936.647096608,4.322074497077508e-07
986,07110,17890756.7240205,4.3187799173565033e-07
987,91753,4898150.673636707,0.7549142299447568
987,07100,17160365.105903316,0.061504776590846896
987,07107,17195744.991742436,0.06125194736998554
987,07110,17205277.628208607,0.061184092516839296
987,07116,17210783.30407278,0.06114495357757149
988,91754,3366551.6015043803,0.8849762074338943
988,99854,18659347.252254415,0.02880774419539707
988,07190,18666407.500507526,0.028785956247044314
988,07186,18669082.024846654,0.028777709111398427
988,07090,18709866.94498174,0.028652383012265935
989,91753,10486408.321338482,0.2017489851133677
989,07100,10508072.879934404,0.20091794842298527
989,07103,10551390.337325899,0.1992716460282474
989,07107,10556587.666960116,0.19907547932830277
989,07110,10558962.487436887,0.19898594110709683
