region,year,mo_start,mo_end,yield_detrend,temp_index,strike,payoff,fair_premium,rev_without,rev_with_sd,rev_with_var,z_sd,z_var
28,2001,7,7,8.4055,559.24,558.45,0.0,10.0194,1344.88,1344.88,1320.81,0.0,2.4024
28,2002,7,7,9.3969,524.24,558.45,34.21,10.0194,1503.51,1503.51,1561.62,0.0,2.4024
28,2003,7,7,8.8612,575.83,558.45,0.0,10.0194,1417.8,1417.8,1393.73,0.0,2.4024
28,2004,7,7,9.6494,522.64,558.45,35.8,10.0194,1543.9,1543.9,1605.84,0.0,2.4024
28,2005,7,7,8.7226,551.64,558.45,6.81,10.0194,1395.61,1395.61,1387.9,0.0,2.4024
28,2006,7,7,8.5638,636.09,558.45,0.0,10.0194,1370.21,1370.21,1346.14,0.0,2.4024
28,2007,7,7,7.8019,518.23,558.45,40.21,10.0194,1248.31,1248.31,1320.85,0.0,2.4024
28,2008,7,7,9.4515,541.94,558.45,16.51,10.0194,1512.24,1512.24,1527.84,0.0,2.4024
28,2009,7,7,9.3164,552.34,558.45,6.11,10.0194,1490.62,1490.62,1481.22,0.0,2.4024
28,2010,7,7,9.9593,586.64,558.45,0.0,10.0194,1593.48,1593.48,1569.41,0.0,2.4024
28,2011,7,7,10.005,497.48,558.45,60.97,10.0194,1600.81,1600.81,1723.2,0.0,2.4024
28,2012,7,7,9.3508,517.13,558.45,41.32,10.0194,1496.13,1496.13,1571.32,0.0,2.4024
28,2013,7,7,9.4966,589.46,558.45,0.0,10.0194,1519.45,1519.45,1495.38,0.0,2.4024
28,2014,7,7,8.8423,565.94,558.45,0.0,10.0194,1414.77,1414.77,1390.7,0.0,2.4024
28,2015,7,7,10.0881,559.11,558.45,0.0,10.0194,1614.1,1614.1,1590.03,0.0,2.4024
28,2016,7,7,6.9339,551.99,558.45,6.46,10.0194,1109.42,1109.42,1100.86,0.0,2.4024
28,2017,7,7,9.8796,567.67,558.45,0.0,10.0194,1580.74,1580.74,1556.67,0.0,2.4024
