year,wheat_yield,actual_index,strike,itm,premium,po_actual,rev_without,rev_with,z_star,rev_diff,region
2023,8.9,1826.4458333333334,1672.3057010491136,True,44.55196056126327,75.11365013531226,1424.0,1484.2022067756534,1.9698585914167872,60.202206775653394,28
2024,7.499995906085604,1740.9,1672.3057010491136,True,38.60301991341174,33.42651972799286,1199.9993449736967,1189.8023716099788,1.9698585914167872,-10.196973363717916,28
2015,9.9,1397.2956944444445,1379.5746365017344,True,17.637287347932606,7.609844668672275,1584.0,1565.8436847904834,1.810662577714763,-18.156315209516606,32
2016,5.9,1398.9438293650794,1379.5746365017344,True,39.39711461604759,8.317593087507817,944.0,887.7254734349926,1.810662577714763,-56.27452656500736,32
2017,8.8,1587.6872619047617,1379.5746365017344,True,36.7261559044464,89.36852179065895,1408.0,1503.3175619125334,1.810662577714763,95.31756191253339,32
2018,8.4,1584.4820833333333,1379.5746365017344,True,38.24302103665868,87.99214171545239,1344.0,1434.0788710873073,1.810662577714763,90.07887108730733,32
2019,9.5,1451.3879437229439,1379.5746365017344,True,35.3591339350909,30.838345817939913,1520.0,1511.8143781344972,1.810662577714763,-8.185621865502753,32
2020,9.1,1481.6854292929293,1379.5746365017344,True,31.28432891310159,43.84880827364072,1456.0,1478.7500325865976,1.810662577714763,22.750032586597627,32
2021,8.3,1361.9615384615386,1379.5746365017344,False,43.837465808279575,0.0,1328.0,1248.6251411590977,1.810662577714763,-79.37485884090233,32
2022,9.200014749884108,1546.116491841492,1379.5746365017344,True,57.10357833280364,71.5170422705714,1472.0023599814572,1498.1002797488145,1.810662577714763,26.097919767357325,32
2023,8.9,1529.7076923076925,1379.5746365017344,True,56.263904292112656,64.47071264085741,1424.0,1438.859760759549,1.810662577714763,14.85976075954909,32
2024,7.500017796454488,1476.375,1379.5746365017344,True,48.14093026365001,41.56838335917997,1200.002847432718,1188.1021827125192,1.810662577714763,-11.900664720198847,32
2015,7.2,232.24363858363859,182.39247882218407,True,39.2699960226774,24.63767284351399,1152.0,1124.1716179353753,1.9018430445995615,-27.828382064624748,44
2016,4.18,245.93801157176156,182.39247882218407,True,48.952356306918574,31.405769776322135,668.8,635.4291464503208,1.9018430445995615,-33.37085354967917,44
2017,6.2,343.24386446886444,182.39247882218407,True,47.439731025090175,79.4967225427131,992.0,1052.9673663485785,1.9018430445995615,60.96736634857848,44
2018,6.25,252.17386696636697,182.39247882218407,True,47.93590898396555,34.48768333353778,1000.0,974.4235855845286,1.9018430445995615,-25.57641441547139,44
2019,6.8,285.295175070028,182.39247882218407,True,44.9463842419812,50.857050808879734,1088.0,1099.2411600992032,1.9018430445995615,11.24116009920317,44
2020,7.0,259.2160775713794,182.39247882218407,True,43.34690784313207,37.96811752627598,1120.0,1109.7703850475277,1.9018430445995615,-10.229614952472275,44
2021,6.2,247.70000000000002,182.39247882218407,True,53.1197415647635,32.27658792090946,992.0,952.3595932149161,1.9018430445995615,-39.64040678508388,44
2022,6.3,278.0315789473684,182.39247882218407,True,54.32337750106137,47.26720243235559,1008.0,994.5802625241051,1.9018430445995615,-13.419737475894863,44
2023,6.3,298.44473684210527,182.39247882218407,True,53.78777422305035,57.355888599741306,1008.0,1014.7859935096454,1.9018430445995615,6.7859935096454365,44
2024,5.2,355.87368421052633,182.39247882218407,True,49.62283194286602,85.73869100155365,832.0,900.6866953505032,1.9018430445995615,68.68669535050321,44
2015,7.2,1410.274107142857,1367.12505443522,True,8.815921398931447,26.938373588422255,1152.0,1189.1507456727763,2.0499844769528517,37.15074567277634,52
2016,6.2,1318.1804166666666,1367.12505443522,False,29.602097636408335,0.0,992.0,931.3161593601202,2.0499844769528517,-60.683840639879804,52
2017,7.1,1475.3016071428574,1367.12505443522,True,19.20522494317997,67.53567477114537,1136.0,1235.0766719114777,2.0499844769528517,99.07667191147766,52
2018,5.7,1541.5507142857143,1367.12505443522,True,30.22025887660698,108.8956371834331,912.0,1073.2833042473867,2.0499844769528517,161.2833042473867,52
