year,wheat_yield,actual_index,strike,itm,premium,po_actual,rev_without,rev_with,z_star,rev_diff,region
2021,6.1,1522.02,1487.0746084195582,True,130.7936827563957,29.150707266531874,976.0,870.4037591882343,1.038893640242715,-105.59624081176571,27
2022,6.7,1799.8454545454547,1487.0746084195582,True,130.19156505996665,260.9068310461964,1072.0,1207.799258515729,1.038893640242715,135.79925851572898,27
2023,6.5,1736.6,1487.0746084195582,True,138.0819601452303,208.14880922951843,1040.0,1112.792003905513,1.038893640242715,72.79200390551296,27
2024,5.3,1640.3045454545454,1487.0746084195582,True,154.25124631218713,127.82117575342836,848.0,820.5419677853392,1.038893640242715,-27.45803221466076,27
2015,9.6,1970.3714682539683,1806.282759794405,True,50.446505046055236,59.00422782194742,1536.0,1552.3939239138836,1.915687659346332,16.393923913883555,28
2016,6.5,1876.853472222222,1806.282759794405,True,51.521834450428244,25.376337182117528,1040.0,989.913393535624,1.915687659346332,-50.08660646437602,28
2017,9.5,2127.5021031746032,1806.282759794405,True,50.069249456975896,115.50642025007024,1520.0,1645.357180550869,1.915687659346332,125.35718055086909,28
2018,8.6,2130.2003373015873,1806.282759794405,True,55.00265238999431,116.47667117495185,1376.0,1493.7650191567677,1.915687659346332,117.76501915676772,28
2019,9.8,2049.2555555555555,1806.282759794405,True,56.83664017311101,87.36994964622673,1568.0,1626.4922841566502,1.915687659346332,58.49228415665016,28
2020,8.4,2038.5529166666665,1806.282759794405,True,59.570546916858234,83.52141583043611,1344.0,1389.8823840083628,1.915687659346332,45.882384008362806,28
2021,7.8,1859.3916666666669,1806.282759794405,True,49.514529225067875,19.09729237242284,1248.0,1189.7300747299735,1.915687659346332,-58.26992527002653,28
2022,9.8,2130.9975,1806.282759794405,True,60.902970486577416,116.76332081653818,1568.0,1675.0109837738685,1.915687659346332,107.01098377386847,28
2023,8.9,2080.0291666666667,1806.282759794405,True,65.38296102124865,98.43575166240556,1424.0,1487.3188231382223,1.915687659346332,63.31882313822234,28
2024,7.499995906085604,2051.9708333333333,1806.282759794405,True,69.80710910712125,88.3463292527452,1199.9993449736967,1235.5147002205736,1.915687659346332,35.51535524687688,28
2015,9.9,1747.731746031746,1672.3179140531456,True,46.60775985427748,34.88048030433798,1584.0,1569.8229036595155,1.2088989846377083,-14.177096340484468,32
2016,5.9,1701.617857142857,1672.3179140531456,True,47.80173516908484,13.551838715063644,944.0,902.5953349527872,1.2088989846377083,-41.4046650472128,32
2017,8.8,1857.8957341269843,1672.3179140531456,True,46.78820813246071,85.83363725429452,1408.0,1455.2019796201284,1.2088989846377083,47.20197962012844,32
2018,8.4,1985.2402904040405,1672.3179140531456,True,52.76462648989261,144.73316762621542,1344.0,1455.180675998312,1.2088989846377083,111.18067599831193,32
2019,9.5,1804.100634920635,1672.3179140531456,True,56.01021918101923,60.95227465665562,1520.0,1525.9744458465202,1.2088989846377083,5.9744458465202115,32
2020,9.1,1832.848143939394,1672.3179140531456,True,60.482179774864285,74.24860101774199,1456.0,1472.6422126626098,1.2088989846377083,16.642212662609836,32
2021,8.3,1631.9346153846154,1672.3179140531456,False,48.49297629298403,0.0,1328.0,1269.3768901973513,1.2088989846377083,-58.62310980264874,32
2022,9.200014749884108,1875.616491841492,1672.3179140531456,True,62.76501911611389,94.0298596742642,1472.0023599814572,1509.7983939870649,1.2088989846377083,37.79603400560768,32
