region,eval_year,n_calib,window,option_type,index_type,spearman_rho,p_holm_sig,S,z_star,premium_EUR_ha,idx_mean,idx_std,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,xgb_forecast,xgb_dev_sigma,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,better_off_perfect,xgb_hedge_t00,rev_hedged_xgb_t00,net_benefit_xgb_t00,better_off_xgb_t00,xgb_hedge_t05,rev_hedged_xgb_t05,net_benefit_xgb_t05,better_off_xgb_t05,xgb_hedge_t10,rev_hedged_xgb_t10,net_benefit_xgb_t10,better_off_xgb_t10,z_var,rev_hedged_xgb_var,net_benefit_xgb_var,better_off_xgb_var
24,2021,21,May,call,cat,-0.2857,False,440.71,0.0,14.12,440.71,35.73,377.62,-63.1,0.0,False,1170.85,1170.85,-0.0,False,462.93,0.622,False,1170.85,0.0,False,True,1170.85,-0.0,False,True,1170.85,-0.0,False,False,1170.85,0.0,False,0.0,1170.85,-0.0,False
27,2021,21,FebMarAprMayJunJul,put,cat,0.9429,False,2376.03,1.4928,35.97,2376.03,115.07,2169.64,-206.39,206.39,True,969.37,1223.78,254.4,True,2327.5,-0.422,True,1223.78,254.4,True,True,1223.78,254.4,True,False,969.37,0.0,False,False,969.37,0.0,False,0.6295,1076.66,107.28,True
28,2021,21,Jan,call,cat,-0.4494,False,168.59,1.9746,18.17,168.59,48.64,153.74,-14.85,0.0,False,1236.46,1200.6,-35.87,False,184.8,0.333,False,1236.46,0.0,False,True,1200.6,-35.87,False,False,1236.46,0.0,False,False,1236.46,0.0,False,0.6582,1224.51,-11.96,False
32,2021,21,JanFebMarAprMayJunJul,call,cat,-0.3929,False,2280.73,0.0,70.9,2280.73,189.33,2122.6,-158.13,0.0,False,1324.11,1324.11,-0.0,False,2282.93,0.012,False,1324.11,0.0,False,True,1324.11,-0.0,False,False,1324.11,0.0,False,False,1324.11,0.0,False,0.0,1324.11,-0.0,False
44,2021,21,Apr,put,cat,0.2805,False,317.73,4.3738,17.69,317.73,46.58,242.99,-74.74,74.74,True,1005.27,1254.8,249.53,True,332.11,0.309,True,1254.8,249.53,True,False,1005.27,0.0,False,False,1005.27,0.0,False,False,1005.27,0.0,False,1.35,1082.29,77.02,True
52,2021,21,AprMay,call,cat,-0.4558,False,787.94,1.8075,21.1,787.94,58.85,696.48,-91.47,0.0,False,1073.7,1035.56,-38.14,False,809.11,0.36,False,1073.7,0.0,False,True,1035.56,-38.14,False,False,1073.7,0.0,False,False,1073.7,0.0,False,0.6502,1059.98,-13.72,False
53,2021,21,May,call,cat,-0.4416,False,410.66,1.8956,8.08,410.66,23.59,356.35,-54.31,0.0,False,1184.78,1169.46,-15.32,False,420.55,0.419,False,1184.78,0.0,False,True,1169.46,-15.32,False,False,1184.78,0.0,False,False,1184.78,0.0,False,0.7945,1178.36,-6.42,False
11,2022,22,May,call,cat,-0.4433,False,446.52,0.0,15.65,446.52,40.1,500.45,53.92,53.92,True,1374.73,1374.73,0.0,True,466.7,0.503,True,1374.73,0.0,True,True,1374.73,0.0,True,True,1374.73,0.0,True,False,1374.73,0.0,False,0.0,1374.73,0.0,True
24,2022,22,May,call,cat,-0.3337,False,437.84,0.0,15.02,437.84,37.37,511.67,73.83,73.83,True,1129.55,1129.55,0.0,True,451.68,0.37,True,1129.55,0.0,True,True,1129.55,0.0,True,False,1129.55,0.0,False,False,1129.55,0.0,False,0.0,1129.55,0.0,True
27,2022,22,FebMarAprMayJunJul,put,cat,0.9643,True,2346.54,1.5228,50.7,2346.54,130.84,2532.84,186.29,0.0,False,1067.54,990.34,-77.2,False,2316.38,-0.231,False,1067.54,0.0,False,True,990.34,-77.2,False,False,1067.54,0.0,False,False,1067.54,0.0,False,0.3511,1049.74,-17.8,False
28,2022,22,Jan,call,cat,-0.3303,False,167.91,1.1169,17.64,167.91,47.58,179.16,11.24,11.24,True,1559.0,1551.85,-7.15,False,194.79,0.565,False,1559.0,0.0,False,True,1551.85,-7.15,False,True,1551.85,-7.15,False,False,1559.0,0.0,False,0.631,1554.96,-4.04,False
32,2022,22,FebMarApr,put,cat,0.2273,False,652.35,0.5487,44.87,652.35,116.24,759.72,107.37,0.0,False,1469.14,1444.52,-24.62,False,690.7,0.33,False,1469.14,0.0,False,False,1469.14,0.0,False,False,1469.14,0.0,False,False,1469.14,0.0,False,0.181,1461.01,-8.12,False
44,2022,22,Mar,call,cat,-0.2095,False,212.74,2.3559,16.75,212.74,42.9,245.14,32.4,32.4,True,1020.6,1057.47,36.87,True,226.56,0.322,True,1057.47,36.87,True,True,1057.47,36.87,True,False,1020.6,0.0,False,False,1020.6,0.0,False,0.7588,1032.48,11.88,True
