region,eval_year,n_calib,window,option_type,index_type,spearman_rho,S,z_star,premium_EUR_ha,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,xgb_forecast,xgb_forecast_payoff,xgb_expected_net,xgb_hedge,xgb_forecast_vs_S,rev_hedged_xgb,net_benefit_xgb,better_off_xgb,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,better_off_perfect,mv_oracle_hedge,rev_hedged_mv,net_benefit_mv,better_off_mv
24,2019,19,Mar,call,mixed_a3,-0.5246,0.0,0.0,9.3,7.01,7.01,7.01,True,1216.49,1216.49,-0.0,False,12.73,12.73,3.43,True,12.73,1216.49,-0.0,False,False,1216.49,0.0,False,False,1216.49,0.0,False
27,2019,19,JanFebMarAprMay,put,cdd,1.0,11.73,10.0,3.46,0.0,-11.73,11.73,True,1266.34,1349.11,82.77,True,0.0,11.73,8.28,True,-11.73,1349.11,82.77,True,True,1349.11,82.77,True,True,1349.11,82.77,True
28,2019,19,FebMarAprMayJunJul,call,mixed_a2,-0.6632,-0.0,0.8802,36.32,-64.91,-64.91,0.0,False,1605.68,1573.71,-31.97,False,233.97,233.97,197.65,True,233.97,1573.71,-31.97,False,False,1605.68,0.0,False,False,1605.68,0.0,False
32,2019,19,JanFebMarAprMayJun,call,mixed_a4,-0.9,-0.0,2.5379,51.2,-5.76,-5.76,0.0,False,1528.22,1398.27,-129.95,False,116.6,116.6,65.4,True,116.6,1398.27,-129.95,False,False,1528.22,0.0,False,False,1528.22,0.0,False
44,2019,19,MayJunJul,call,mixed_a3,-0.5386,-0.0,3.2132,15.64,-68.78,-68.78,0.0,False,1028.19,977.95,-50.24,False,58.21,58.21,42.58,True,58.21,977.95,-50.24,False,False,1028.19,0.0,False,False,1028.19,0.0,False
52,2019,19,JunJul,call,mixed_a2,-0.5825,0.0,1.8752,18.12,-32.41,-32.41,0.0,False,1173.76,1139.79,-33.97,False,35.6,35.6,17.49,True,35.6,1139.79,-33.97,False,False,1173.76,0.0,False,False,1173.76,0.0,False
53,2019,19,MarAprMayJun,call,mixed_a2,-0.414,-0.0,1.5655,21.88,-0.13,-0.13,0.0,False,1274.01,1239.76,-34.25,False,87.35,87.35,65.48,True,87.35,1239.76,-34.25,False,False,1274.01,0.0,False,False,1274.01,0.0,False
11,2020,20,MayJun,call,mixed_a6,-0.6271,-0.0,1.2493,12.0,-6.8,-6.8,0.0,False,1248.94,1233.95,-14.99,False,19.84,19.84,7.84,True,19.84,1233.95,-14.99,False,False,1248.94,0.0,False,False,1248.94,0.0,False
24,2020,20,May,call,mixed_a5,-0.5083,0.0,1.5726,8.28,1.56,1.56,1.56,True,970.0,959.42,-10.57,False,17.43,17.43,9.15,True,17.43,959.42,-10.57,False,False,970.0,0.0,False,False,970.0,0.0,False
27,2020,20,FebMarAprMayJunJul,put,cat,0.9,2359.22,1.4966,39.7,2460.04,100.81,0.0,False,1345.87,1286.47,-59.41,False,2279.83,79.39,39.7,True,-79.39,1286.47,-59.41,False,False,1345.87,0.0,False,False,1345.87,0.0,False
28,2020,20,MarAprMayJunJul,call,prec_mm,-0.6887,276.13,1.3905,21.7,198.53,-77.61,0.0,False,1374.14,1343.97,-30.17,False,375.63,99.5,77.8,True,99.5,1343.97,-30.17,False,False,1374.14,0.0,False,False,1374.14,0.0,False
32,2020,20,JanFebMarAprMayJun,call,mixed_a7,-0.8286,-0.0,5.0305,50.18,169.88,169.88,169.88,True,1462.58,2064.73,602.15,True,47.18,47.18,-3.0,False,47.18,1462.58,0.0,False,True,2064.73,602.15,True,True,2064.73,602.15,True
44,2020,20,MayJunJul,call,mixed_a3,-0.5865,-0.0,3.3757,15.46,-95.65,-95.65,0.0,False,1072.15,1019.96,-52.19,False,52.69,52.69,37.23,True,52.69,1019.96,-52.19,False,False,1072.15,0.0,False,False,1072.15,0.0,False
52,2020,20,JunJul,call,mixed_a2,-0.5744,-0.0,1.9418,18.08,-0.56,-0.56,0.0,False,770.69,735.58,-35.11,False,27.06,27.06,8.98,True,27.06,735.58,-35.11,False,False,770.69,0.0,False,False,770.69,0.0,False
53,2020,20,MarAprMayJunJul,call,mixed_a2,-0.397,0.0,1.4009,21.39,-17.91,-17.91,0.0,False,1096.31,1066.36,-29.96,False,87.29,87.29,65.9,True,87.29,1066.36,-29.96,False,False,1096.31,0.0,False,False,1096.31,0.0,False
11,2021,21,MayJun,call,mixed_a6,-0.6143,-0.0,1.3361,11.6,3.54,3.54,3.54,True,1328.71,1317.94,-10.76,False,20.27,20.27,8.67,True,20.27,1317.94,-10.76,False,False,1328.71,0.0,False,False,1328.71,0.0,False
24,2021,21,FebMar,call,prec_mm,-0.5364,109.19,5.8374,16.48,90.45,-18.74,0.0,False,1163.5,1067.29,-96.21,False,141.8,32.62,16.14,True,32.62,1067.29,-96.21,False,False,1163.5,0.0,False,False,1163.5,0.0,False
27,2021,21,FebMarAprMayJunJul,put,cat,0.9429,2376.03,1.5275,35.97,2169.64,-206.39,206.39,True,977.4,1237.71,260.31,True,2327.5,48.53,12.56,True,-48.53,1237.71,260.31,True,True,1237.71,260.31,True,True,1237.71,260.31,True
28,2021,21,FebMarAprMayJunJul,call,mixed_a2,-0.6494,0.0,0.864,35.15,38.94,38.94,38.94,True,1270.61,1273.88,3.28,True,289.55,289.55,254.4,True,289.55,1273.88,3.28,True,True,1273.88,3.28,True,True,1273.88,3.27,True
32,2021,21,JanFebMarAprMayJunJul,call,mixed_a5,-0.75,0.0,3.1951,42.06,67.9,67.9,67.9,True,1332.93,1415.51,82.58,True,65.08,65.08,23.02,True,65.08,1415.51,82.58,True,True,1415.51,82.58,True,True,1415.51,82.58,True
44,2021,21,MayJunJul,call,mixed_a3,-0.6234,-0.0,3.4835,16.37,115.48,115.48,115.48,True,956.12,1301.39,345.27,True,54.23,54.23,37.86,True,54.23,1301.39,345.27,True,True,1301.39,345.27,True,True,1301.39,345.27,True
52,2021,21,FebMarAprMayJunJul,call,mixed_a4,-0.5649,0.0,1.3933,31.77,-55.47,-55.47,0.0,False,1062.02,1017.76,-44.26,False,97.48,97.48,65.72,True,97.48,1017.76,-44.26,False,False,1062.02,0.0,False,False,1062.02,0.0,False
53,2021,21,MarAprMayJun,call,mixed_a2,-0.4455,0.0,1.615,20.75,-49.22,-49.22,0.0,False,1197.14,1163.63,-33.51,False,83.37,83.37,62.62,True,83.37,1163.63,-33.51,False,False,1197.14,0.0,False,False,1197.14,0.0,False
11,2022,22,MayJun,call,mixed_a6,-0.6172,0.0,1.2249,11.02,45.07,45.07,45.07,True,1376.47,1418.18,41.71,True,27.44,27.44,16.42,True,27.44,1418.18,41.71,True,True,1418.18,41.71,True,True,1418.18,41.71,True
24,2022,22,MarAprMay,call,mixed_a4,-0.5392,-0.0,0.5125,18.44,-19.52,-19.52,0.0,False,1125.0,1115.55,-9.45,False,50.63,50.63,32.19,True,50.63,1115.55,-9.45,False,False,1125.0,0.0,False,False,1125.0,0.0,False
27,2022,22,FebMarAprMayJunJul,put,cat,0.9643,2346.54,1.5439,50.7,2532.84,186.29,0.0,False,1072.94,994.67,-78.27,False,2316.38,30.17,-20.53,False,-30.17,1072.94,0.0,False,False,1072.94,0.0,False,False,1072.94,0.0,False
28,2022,22,JanFebMarAprMayJunJul,call,prec_mm,-0.6522,415.16,1.4815,30.06,277.1,-138.05,0.0,False,1583.07,1538.54,-44.53,False,656.43,241.27,211.22,True,241.27,1538.54,-44.53,False,False,1583.07,0.0,False,False,1583.07,0.0,False
32,2022,22,JanFebMarAprMayJunJul,call,mixed_a4,-0.7381,-0.0,2.9889,41.66,-62.33,-62.33,0.0,False,1475.29,1350.78,-124.51,False,111.38,111.38,69.72,True,111.38,1350.78,-124.51,False,False,1475.29,0.0,False,False,1475.29,0.0,False
44,2022,22,MayJunJul,call,mixed_a3,-0.5584,-0.0,3.4478,15.8,-45.74,-45.74,0.0,False,984.08,929.62,-54.46,False,58.91,58.91,43.11,True,58.91,929.62,-54.46,False,False,984.08,0.0,False,False,984.08,0.0,False
52,2022,22,FebMarAprMayJunJul,call,mixed_a4,-0.5336,0.0,1.4487,31.49,11.93,11.93,11.93,True,1062.15,1033.82,-28.33,False,91.63,91.63,60.14,True,91.63,1033.82,-28.33,False,False,1062.15,0.0,False,False,1062.15,0.0,False
53,2022,22,MarAprMayJun,call,mixed_a2,-0.4082,-0.0,1.5778,21.42,-23.38,-23.38,0.0,False,1198.72,1164.93,-33.79,False,81.02,81.02,59.6,True,81.02,1164.93,-33.79,False,False,1198.72,0.0,False,False,1198.72,0.0,False
11,2023,23,MarAprMayJunJul,call,mixed_a4,-0.5158,-0.0,0.3502,23.72,80.23,80.23,80.23,True,1344.22,1364.01,19.79,True,80.97,80.97,57.25,True,80.97,1364.01,19.79,True,True,1364.01,19.79,True,True,1364.01,19.79,True
24,2023,23,MarAprMay,call,mixed_a4,-0.5326,-0.0,0.5893,18.09,11.01,11.01,11.01,True,1102.5,1098.33,-4.17,False,61.2,61.2,43.11,True,61.2,1098.33,-4.17,False,False,1102.5,0.0,False,False,1102.5,0.0,False
27,2023,23,FebMarAprMayJunJul,call,hdd,-0.8095,1055.27,2.0343,38.41,1013.63,-41.64,0.0,False,1040.47,962.33,-78.14,False,1027.56,0.0,-38.41,False,-27.71,1040.47,0.0,False,False,1040.47,0.0,False,False,1040.47,0.0,False
28,2023,23,JanFebMarAprMayJunJul,call,prec_mm,-0.6887,409.16,1.4994,31.28,397.77,-11.38,0.0,False,1431.54,1384.63,-46.91,False,528.08,118.92,87.64,True,118.92,1384.63,-46.91,False,False,1431.54,0.0,False,False,1431.54,0.0,False
32,2023,23,JanFebMarAprMayJunJul,call,mixed_a5,-0.7333,-0.0,3.7716,33.6,121.76,121.76,121.76,True,1425.64,1758.14,332.5,True,90.68,90.68,57.08,True,90.68,1758.14,332.5,True,True,1758.14,332.5,True,True,1758.14,332.5,True
44,2023,23,MayJunJul,call,mixed_a3,-0.5998,-0.0,3.4382,16.48,-45.13,-45.13,0.0,False,996.04,939.36,-56.68,False,52.92,52.92,36.44,True,52.92,939.36,-56.68,False,False,996.04,0.0,False,False,996.04,0.0,False
52,2023,23,FebMar,call,prec_mm,-0.5306,127.72,2.1911,22.73,113.49,-14.23,0.0,False,1084.67,1034.87,-49.8,False,164.8,37.09,14.36,True,37.09,1034.87,-49.8,False,False,1084.67,0.0,False,False,1084.67,0.0,False
53,2023,23,MarAprMayJun,call,mixed_a2,-0.3755,-0.0,1.5514,21.5,91.2,91.2,91.2,True,1151.44,1259.58,108.14,True,86.8,86.8,65.3,True,86.8,1259.58,108.14,True,True,1259.58,108.14,True,True,1259.58,108.14,True
11,2024,24,May,call,mixed_a7,-0.4687,-0.0,1.0439,10.01,20.91,20.91,20.91,True,1052.32,1063.7,11.38,True,18.46,18.46,8.44,True,18.46,1063.7,11.38,True,True,1063.7,11.38,True,True,1063.7,11.38,True
24,2024,24,MarAprMay,call,mixed_a4,-0.5357,-0.0,0.6043,17.58,97.3,97.3,97.3,True,1008.0,1056.17,48.17,True,45.41,45.41,27.82,True,45.41,1056.17,48.17,True,True,1056.17,48.17,True,True,1056.17,48.17,True
27,2024,24,MarAprMayJun,call,mixed_a2,-0.7909,0.0,0.5939,35.0,222.85,222.85,222.85,True,848.0,959.57,111.57,True,58.85,58.85,23.86,True,58.85,959.57,111.57,True,True,959.57,111.57,True,True,959.57,111.57,True
28,2024,24,FebMarAprMayJunJul,call,mixed_a2,-0.6843,0.0,0.8823,34.96,112.78,112.78,112.78,True,1200.0,1268.66,68.66,True,217.41,217.41,182.45,True,217.41,1268.66,68.66,True,True,1268.66,68.66,True,True,1268.66,68.66,True
32,2024,24,JanFebMarAprMayJun,call,mixed_a2,-0.697,-0.0,1.6954,51.89,239.51,239.51,239.51,True,1200.0,1518.09,318.08,True,155.51,155.51,103.61,True,155.51,1518.09,318.08,True,True,1518.09,318.08,True,True,1518.09,318.09,True
44,2024,24,MayJunJul,call,mixed_a3,-0.6348,-0.0,3.5788,16.63,89.14,89.14,89.14,True,832.0,1091.49,259.49,True,60.59,60.59,43.95,True,60.59,1091.49,259.49,True,True,1091.49,259.49,True,True,1091.49,259.49,True
52,2024,24,JunJul,call,mixed_a2,-0.5104,0.0,1.0832,18.11,18.61,18.61,18.61,True,768.0,768.54,0.54,True,32.98,32.98,14.86,True,32.98,768.54,0.54,True,True,768.54,0.54,True,True,768.54,0.54,True
53,2024,24,MarAprMayJun,call,mixed_a2,-0.4122,-0.0,1.4358,23.23,101.13,101.13,101.13,True,1043.68,1155.53,111.85,True,86.11,86.11,62.88,True,86.11,1155.53,111.85,True,True,1155.53,111.85,True,True,1155.53,111.85,True
