region,calibration_year,calibration_end,prediction_year,train_start,train_end,prediction_start,prediction_end,n_calibration_rows,n_prediction_rows,fit_MAE,fit_MAPE,fit_Bias,fit_R2,fit_RMSE,pred_year_MAE,pred_year_MAPE,pred_year_Bias,pred_year_R2,pred_year_RMSE,export_path
24,2014,2014-12-31,2015,1975-01-01,2014-12-31,2015-01-01,2015-12-31,14600,365,1.589805289686704,0.16024809254763558,-0.01639165249635278,0.5834068038415632,2.001821750873262,1.6381988764360396,0.14733005088367304,0.2300870680176626,0.47240189661738485,2.0504158669060173,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2014_predict_2015.pkl
24,2015,2015-12-31,2016,1975-01-01,2015-12-31,2016-01-01,2016-12-31,14965,365,1.5747707333285703,0.15801097120903967,0.0056116015136343485,0.5895766764881748,1.9836332141212352,1.5054786637982498,0.1328368440203669,0.23353029340673234,0.515061614355427,1.8938587037196908,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2015_predict_2016.pkl
24,2016,2016-12-31,2017,1975-01-01,2016-12-31,2017-01-01,2017-12-31,15330,365,1.5772075047985457,0.15745669341593566,0.028533572553517707,0.5873768108144255,1.9847903602470975,1.7364666271772857,0.15358922500629052,0.30906258278052423,0.5072726908693714,2.1299017902135713,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2016_predict_2017.pkl
24,2017,2017-12-31,2018,1975-01-01,2017-12-31,2018-01-01,2018-12-31,15695,365,1.5814632646495943,0.15899168864049015,-0.005288026984527645,0.5856180702656086,1.989353629622684,1.6126309173659774,0.14616182897193283,0.22726334943028464,0.614670587131315,1.9926331805874307,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2017_predict_2018.pkl
24,2018,2018-12-31,2019,1975-01-01,2018-12-31,2019-01-01,2019-12-31,16060,365,1.583969440818739,0.15876488191860266,-0.010201679087287016,0.5846982011333071,1.9944070369046423,1.5297919007429717,0.1356893755366428,0.1595762312167762,0.5432549364291617,1.9091484271921875,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2018_predict_2019.pkl
24,2019,2019-12-31,2020,1975-01-01,2019-12-31,2020-01-01,2020-12-31,16425,365,1.5775344350410119,0.1571137074506411,-0.010919718365664122,0.5870471977661563,1.9863007459834876,1.6513343874604045,0.1500055973359429,0.17586376502494427,0.509228832570209,2.078265732427481,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2019_predict_2020.pkl
24,2020,2020-12-31,2021,1975-01-01,2020-12-31,2021-01-01,2021-12-31,16790,365,1.5805146900083729,0.15734187707176267,0.0017660834585058183,0.5851008829430379,1.9904136981536082,1.5137099978059367,0.132234450752702,0.17376375306986425,0.5993294505560952,1.9076560791137187,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2020_predict_2021.pkl
24,2021,2021-12-31,2022,1975-01-01,2021-12-31,2022-01-01,2022-12-31,17155,365,1.5798552853846342,0.1563729370308791,0.05092156771523202,0.5868688834693054,1.9864375218880348,1.5159983561369132,0.13549948792748853,0.25225230006207666,0.6028403029917802,1.9221676458993793,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2021_predict_2022.pkl
24,2022,2022-12-31,2023,1975-01-01,2022-12-31,2023-01-01,2023-12-31,17520,365,1.5989657402436244,0.15967009032721852,0.00018243290358314895,0.579042650538911,2.0059859409957848,1.543484644452995,0.13155662091998085,0.17187280358469176,0.5755352210866066,1.8950990861467227,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2022_predict_2023.pkl
24,2023,2023-12-31,2024,1975-01-01,2023-12-31,2024-01-01,2024-12-30,17885,364,1.5758239120852873,0.1551713437801087,0.031884098854944136,0.5877764815937375,1.9839156334991581,1.5704793832889088,0.13773096736156135,0.2589187274135902,0.5167700571622034,2.0187378173919734,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_24_calib_2023_predict_2024.pkl
27,2014,2014-12-31,2015,1978-01-01,2014-12-31,2015-01-01,2015-12-31,13505,365,1.5330602060385887,0.159203876750943,0.011930749206728812,0.503860164255276,2.013068351704156,1.6104319410486525,0.15918966338237714,0.04952072503669074,0.5385598671850622,2.0449542027748224,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2014_predict_2015.pkl
27,2015,2015-12-31,2016,1978-01-01,2015-12-31,2016-01-01,2016-12-31,13870,365,1.5348425885087782,0.16130403163588505,0.022886280324923923,0.507267181205015,2.009758613789454,1.5689429829396622,0.1461462635165552,0.10131065482069025,0.540886775235522,1.934818166471577,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2015_predict_2016.pkl
27,2016,2016-12-31,2017,1978-01-01,2016-12-31,2017-01-01,2017-12-31,14235,365,1.5519553635641226,0.16261535048839662,-0.009191330189267953,0.50004200899857,2.0251722761836013,1.737205470092586,0.15971166814942067,0.2980794201893269,0.5858205786101629,2.1469246726053797,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2016_predict_2017.pkl
27,2017,2017-12-31,2018,1978-01-01,2017-12-31,2018-01-01,2018-12-31,14600,365,1.5449379251952777,0.1631875453535536,0.049835034847123046,0.5106346582936687,2.0142706676862945,1.595805226086845,0.151070062556681,0.15221218036351292,0.6182030691755086,2.0244266898321683,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2017_predict_2018.pkl
27,2018,2018-12-31,2019,1978-01-01,2018-12-31,2019-01-01,2019-12-31,14965,365,1.5272231661840447,0.15942727218774477,-0.030158082352084822,0.5223706339043487,1.9976447690361452,1.536623574493624,0.14451365435828328,0.08248090069874486,0.5946710551553076,1.9368843335710406,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2018_predict_2019.pkl
27,2019,2019-12-31,2020,1978-01-01,2019-12-31,2020-01-01,2020-12-31,15330,365,1.5480098407497422,0.15872143718455312,0.19896359226543658,0.5147261126994727,2.0174896011182524,1.6143929967098414,0.15011174294887744,0.34479612074229976,0.5342629291694736,2.0559263167815853,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2019_predict_2020.pkl
27,2020,2020-12-31,2021,1978-01-01,2020-12-31,2021-01-01,2021-12-31,15695,365,1.5405497983766399,0.1601456858732297,-0.026364525677808417,0.5195261484435703,2.010228026425215,1.4971247278464184,0.1440211429874007,0.00035987340745545845,0.6158019225728972,1.9168393056382602,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2020_predict_2021.pkl
27,2021,2021-12-31,2022,1978-01-01,2021-12-31,2022-01-01,2022-12-31,16060,365,1.5357358632360774,0.15986005831036848,-0.07792697926591147,0.5238050579408673,2.005628190203288,1.4805025876906492,0.1412797444377477,0.07259236414849957,0.6704848264869911,1.9049984125788415,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2021_predict_2022.pkl
27,2022,2022-12-31,2023,1978-01-01,2022-12-31,2023-01-01,2023-12-31,16425,365,1.5272086981850805,0.15747333305091812,0.04868195992127541,0.5361676910535541,1.987469031504915,1.4316918033382513,0.13184258246326788,0.2292682332716189,0.59992269771004,1.8699866831707395,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2022_predict_2023.pkl
27,2023,2023-12-31,2024,1978-01-01,2023-12-31,2024-01-01,2024-12-30,16790,364,1.5361851740314492,0.16034459522878194,-0.08686719227842017,0.5337564251814438,1.994005300133978,1.57059671145209,0.14228986920604067,0.08954767540536747,0.5642597336360463,2.0099060881943682,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_27_calib_2023_predict_2024.pkl
28,2014,2014-12-31,2015,1975-01-01,2014-12-31,2015-01-01,2015-12-31,14600,365,1.2551785775044566,0.12108955834964441,-0.02307191876918581,0.5348445454679097,1.6075710002303336,1.377025450408067,0.13068951190451872,0.08835331034988399,0.38495690901129676,1.7193258931030264,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2014_predict_2015.pkl
28,2015,2015-12-31,2016,1975-01-01,2015-12-31,2016-01-01,2016-12-31,14965,365,1.2615650775229765,0.12070455286382441,0.06837494010354438,0.5311115548577026,1.6117682133915527,1.3036441747348264,0.12149831319612095,0.2365356782732788,0.4914141636742674,1.6645206942348656,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2015_predict_2016.pkl
28,2016,2016-12-31,2017,1975-01-01,2016-12-31,2017-01-01,2017-12-31,15330,365,1.2585511487859187,0.11891771860899433,0.17791752857185858,0.5363643999006673,1.6031776114111291,1.411391953096572,0.13134328853354627,0.2710399622246379,0.4758893999106425,1.7635268116675027,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2016_predict_2017.pkl
28,2017,2017-12-31,2018,1975-01-01,2017-12-31,2018-01-01,2018-12-31,15695,365,1.267024306326094,0.11932516155311745,0.20094522423416786,0.529370823349179,1.617078490889856,1.3040086077806639,0.11965022943818922,0.2250851268009187,0.6313409849832445,1.6570961236204358,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2017_predict_2018.pkl
28,2018,2018-12-31,2019,1975-01-01,2018-12-31,2019-01-01,2019-12-31,16060,365,1.2581090598919684,0.12036402597558746,0.02650994484260403,0.5367419882024402,1.6111498740928116,1.2840650412490109,0.12105825030693808,0.14824348409873447,0.49117221357517715,1.6275561449571398,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2018_predict_2019.pkl
28,2019,2019-12-31,2020,1975-01-01,2019-12-31,2020-01-01,2020-12-31,16425,365,1.2716816122770838,0.12133485198919139,0.06824327631532,0.5274654408155101,1.6265778074115882,1.3941397809412286,0.12704674792396944,0.23979762811503438,0.5239607188423374,1.7302621623759145,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2019_predict_2020.pkl
28,2020,2020-12-31,2021,1975-01-01,2020-12-31,2021-01-01,2021-12-31,16790,365,1.2590134281831822,0.12096899445166152,-0.027769742572319428,0.5363467132195596,1.6139881640348943,1.1316114328691196,0.10804119855951794,0.013182096516380014,0.6165122641364897,1.4988793914010394,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2020_predict_2021.pkl
28,2021,2021-12-31,2022,1975-01-01,2021-12-31,2022-01-01,2022-12-31,17155,365,1.250915359831936,0.11912394431239057,0.08475663340467335,0.5473039353665177,1.596149982896315,1.245872615073131,0.1149375836131956,0.20778363571192493,0.5601349510460983,1.635272229039151,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2021_predict_2022.pkl
28,2022,2022-12-31,2023,1975-01-01,2022-12-31,2023-01-01,2023-12-31,17520,365,1.2658893418510337,0.12031968781711881,0.0934930804410843,0.5361073311617304,1.617864831787151,1.2638023270451844,0.1123679004899791,0.2124042824167756,0.5210298810372312,1.6140180491410347,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2022_predict_2023.pkl
28,2023,2023-12-31,2024,1975-01-01,2023-12-31,2024-01-01,2024-12-30,17885,364,1.264659236649035,0.12097491651555727,0.02268835914546283,0.5364987035144115,1.6171178412162113,1.2573354228439872,0.1144631744373687,0.14057599441982485,0.5604593892112854,1.60655210455193,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_28_calib_2023_predict_2024.pkl
