model,region,oos_year,instrument,act_revenue,act_cCDD,K,N_sv,V_sv,act_payoff,hedged_revenue,revenue_change
Alaton,27,2023,put,1040.0,27.65,39.3,0.00323,52.3584,233.0,1040.58,0.58
Alaton,27,2024,put,848.0,67.27,39.1,0.01945,66.8792,0.0,846.69,-1.31
Alaton,28,2015,call,1536.0,538.55,479.6,0.0388,1774.3008,1179.0,1512.5,-23.5
Alaton,28,2016,call,1040.0,510.95,480.8,0.03496,1939.5564,603.0,992.88,-47.12
Alaton,28,2017,call,1520.0,854.54,692.2,0.02508,2145.9884,3246.8,1547.25,27.25
Alaton,28,2018,put,1376.0,70.76,29.7,-0.0194,20.5597,0.0,1376.4,0.4
Alaton,28,2019,call,1568.0,820.71,700.0,0.01105,2353.104,2414.2,1568.5,0.5
Alaton,28,2020,call,1344.0,801.23,702.5,0.01031,2463.0698,1974.6,1338.79,-5.21
Alaton,28,2021,call,1248.0,72.93,114.0,0.01687,1132.9461,0.0,1228.81,-19.19
Alaton,28,2022,put,1568.0,46.95,31.6,-0.02478,21.201,0.0,1568.53,0.53
Alaton,28,2023,put,1424.0,41.95,31.9,0.01484,16.0336,0.0,1423.76,-0.24
Alaton,28,2024,put,1200.0,47.77,24.7,-0.04072,36.1091,0.0,1201.47,1.48
Alaton,32,2015,call,1584.0,180.19,137.9,0.07579,1077.3544,845.8,1566.04,-17.96
Alaton,32,2016,put,944.0,274.87,206.3,0.53964,0.582,0.0,943.68,-0.32
Alaton,32,2017,call,1408.0,399.87,224.5,0.07212,1212.9485,3507.4,1573.04,165.04
Alaton,32,2018,call,1344.0,357.94,228.4,0.01957,1456.7235,2590.8,1366.05,22.05
Alaton,32,2019,call,1520.0,299.53,231.2,0.0212,1778.7947,1366.6,1511.07,-8.93
Alaton,32,2020,call,1456.0,313.49,232.7,0.02195,1867.5462,1615.8,1450.27,-5.73
Alaton,32,2021,call,1328.0,269.67,234.4,0.02568,2136.1287,705.4,1290.99,-37.01
Alaton,32,2022,call,1472.0,355.29,235.1,0.01896,1947.8645,2403.8,1480.46,8.46
Alaton,32,2023,put,1424.0,255.37,216.4,-2.60396,0.0025,0.0,1424.01,0.01
Alaton,32,2024,put,1200.0,295.19,217.2,5.0,0.0,0.0,1200.0,0.0
Alaton,44,2015,call,1152.0,1.52,10.4,0.42354,33.7917,0.0,1137.65,-14.35
Alaton,44,2016,call,668.8,0.4,10.2,0.47242,40.2299,0.0,649.75,-19.05
Alaton,44,2017,put,992.0,16.73,38.8,0.0456,85.7586,441.4,1008.2,16.2
Alaton,44,2018,put,1000.0,934.84,675.2,0.01174,213.8627,0.0,997.47,-2.53
Alaton,44,2019,put,1088.0,761.65,680.5,0.02098,105.9958,0.0,1085.76,-2.24
Alaton,44,2020,put,1120.0,734.69,682.1,0.02594,96.7814,0.0,1117.47,-2.53
Alaton,44,2021,put,992.0,853.28,976.6,0.04782,12.5687,2466.4,1109.34,117.34
Alaton,44,2022,put,1008.0,1245.06,974.3,0.00267,59.3641,0.0,1007.84,-0.16
Alaton,44,2023,put,1008.0,1126.7,979.4,0.00567,35.521,0.0,1007.8,-0.2
Alaton,44,2024,put,832.0,1109.1,982.1,-0.00192,16.8086,0.0,832.03,0.03
Alaton,52,2015,call,1152.0,456.61,415.4,0.03694,1520.5706,824.2,1126.0,-26.0
Alaton,52,2016,call,992.0,358.21,416.3,0.03745,1711.6775,0.0,927.58,-64.42
Alaton,52,2017,call,1136.0,534.04,415.1,0.0289,1306.0683,2378.8,1166.81,30.81
Alaton,52,2018,call,912.0,264.24,178.0,0.05488,587.1185,1724.8,974.3,62.3
Alaton,52,2019,call,1190.4,428.52,420.3,0.03153,1686.3873,164.4,1142.15,-48.25
Alaton,52,2020,call,784.0,498.41,420.5,0.03385,1523.3,1558.2,784.93,0.93
Alaton,52,2021,call,1072.0,131.77,181.6,0.08432,945.8891,0.0,991.91,-80.09
Alaton,52,2022,call,1068.8,277.52,180.6,0.08425,608.0048,1938.4,1180.67,111.87
Alaton,52,2023,call,1088.0,222.82,182.5,0.07114,823.5099,806.4,1086.54,-1.46
Alaton,52,2024,call,768.0,207.96,183.2,0.07483,894.1892,495.2,737.87,-30.13
Alaton,53,2015,call,1264.0,153.92,142.6,0.0523,740.7283,226.4,1236.94,-27.06
Alaton,53,2016,call,1088.0,106.84,99.1,0.0448,280.1659,154.8,1082.33,-5.67
Alaton,53,2017,call,1233.59,136.85,99.3,0.05951,230.6638,751.0,1264.5,30.91
Alaton,53,2018,call,1103.91,120.77,100.1,0.02933,257.28,413.4,1108.46,4.55
Alaton,53,2019,call,1260.8,84.44,100.5,0.03918,304.5849,0.0,1248.82,-11.98
Alaton,53,2020,call,1085.75,141.58,100.2,0.03522,254.8144,827.6,1105.89,20.14
Alaton,53,2021,call,1189.21,54.78,101.0,0.05908,354.2761,0.0,1168.2,-21.02
Alaton,53,2022,call,1193.44,136.19,100.1,0.06256,211.1038,721.8,1225.33,31.89
Alaton,53,2023,call,1148.8,125.69,100.8,0.05135,293.9298,497.8,1159.21,10.41
Alaton,53,2024,call,1043.68,122.11,101.2,0.0572,284.4487,418.2,1051.26,7.58
Benth,11,2015,call,1456.0,446.56,409.3,0.05401,1711.3068,745.2,1403.36,-52.64
Benth,11,2016,call,800.0,354.65,410.1,0.05304,1909.2402,0.0,698.23,-101.77
Benth,11,2017,call,1312.0,468.58,347.3,0.05066,884.3274,2425.6,1389.86,77.86
Benth,11,2018,call,1232.0,580.07,411.5,0.0155,1495.9981,3371.4,1260.95,28.95
Benth,11,2019,call,1408.0,459.04,415.0,0.00971,1696.2804,880.8,1400.0,-8.0
Benth,11,2020,call,1248.0,288.82,195.8,0.01115,908.5751,1860.4,1258.57,10.57
Benth,11,2021,call,1328.0,110.89,197.6,0.01877,1198.8923,0.0,1305.4,-22.6
