region,horizon,model,method,n_paths,mu_C,sigma_C,strike_ATM,price,payoff_mean,payoff_std,payoff_skew,payoff_kurt,var5
53,90day,WaveletFNN,block_bootstrap_unified,10000,29.7,14.46,26.26,149.06,149.43,212.64,1.759,3.343,0.0
53,90day,LSTM,block_bootstrap_unified,10000,25.14,11.56,26.26,81.93,82.14,144.26,2.238,5.551,0.0
53,90day,FeedForwardNN,block_bootstrap_unified,10000,21.45,10.73,26.26,49.44,49.57,108.15,2.827,9.159,0.0
53,mid90day,HBA,block_bootstrap_unified,10000,634.42,49.51,618.75,566.89,570.39,683.82,1.232,1.036,0.0
53,mid90day,Alaton,block_bootstrap_unified,10000,631.67,49.87,618.75,538.43,541.76,670.88,1.249,0.947,0.0
53,mid90day,Benth,block_bootstrap_unified,10000,630.92,49.02,618.75,520.46,523.68,651.74,1.263,1.006,0.0
53,mid90day,XGB,block_bootstrap_unified,10000,633.02,49.11,618.75,546.77,550.15,668.13,1.244,1.054,0.0
53,mid90day,WaveletFNN,block_bootstrap_unified,10000,632.56,52.0,618.75,565.43,568.92,690.35,1.24,1.041,0.0
53,mid90day,LSTM,block_bootstrap_unified,10000,623.63,37.36,618.75,347.5,349.65,467.78,1.453,1.784,0.0
53,mid90day,FeedForwardNN,block_bootstrap_unified,10000,630.2,41.72,618.75,456.24,459.06,562.65,1.292,1.266,0.0
