region,window,n,rho_precip,pval_precip,rho_cdd,pval_cdd,partial_rho_precip_given_cdd,pval_partial,r2_temp_only,r2_temp_plus_precip,incremental_r2,mean_precip_mm,std_precip_mm
53,Jan,25,-0.0008,0.9971,,,-0.0008,0.9971,0.0,0.0012,0.0012,92.4597,45.5774
53,Feb,25,-0.2543,0.22,,,-0.2543,0.22,0.0,0.0664,0.0664,71.614,34.0149
53,Mar,25,-0.3354,0.1012,,,-0.3354,0.1012,0.0,0.1069,0.1069,67.7344,37.8842
53,Apr,25,-0.0677,0.7478,-0.1698,0.417,-0.0962,0.6475,0.0178,0.019,0.0013,53.2433,26.1746
53,May,25,-0.0242,0.9085,-0.1563,0.4558,0.0,1.0,0.0013,0.0589,0.0576,60.5773,26.257
53,Jun,25,-0.2215,0.2872,0.1023,0.6265,-0.2369,0.2542,0.0321,0.1622,0.1301,48.7081,25.1831
53,Jul,25,-0.1723,0.4102,0.3115,0.1295,-0.0715,0.734,0.0958,0.1074,0.0116,53.4726,23.7482
53,FebMar,25,-0.3877,0.0555,,,-0.3877,0.0555,0.0,0.1732,0.1732,139.3484,50.8229
53,AprMay,25,-0.0177,0.9331,-0.1656,0.429,-0.0546,0.7954,0.0009,0.0292,0.0283,113.8207,39.7745
53,MayJun,25,-0.1562,0.456,0.0792,0.7066,-0.1723,0.4102,0.0288,0.1745,0.1457,109.2854,38.3965
53,MayJunJul,25,-0.1108,0.5981,0.23,0.2687,-0.1285,0.5406,0.1061,0.2079,0.1019,162.758,48.7811
53,AprMayJun,25,-0.1762,0.3996,0.0792,0.7066,-0.2269,0.2753,0.0282,0.1357,0.1075,162.5288,45.4849
53,JanFebMarApr,25,-0.2262,0.277,-0.1698,0.417,-0.2185,0.2941,0.0178,0.0752,0.0574,285.0514,84.6842
